Date,Open,High,Low,Close,Adj Close,Volume
2012-12-03,646.390015,649.969971,642.909973,643.369995,643.369995,3074280000
2012-12-04,643.369995,644.869995,640.630005,641.909973,641.909973,3247710000
2012-12-05,641.969971,645.590027,637.359985,642.090027,642.090027,4253920000
2012-12-06,642.090027,644.469971,640.299988,644.390015,644.390015,3229700000
2012-12-07,644.390015,647.349976,642.700012,645.820007,645.820007,3125160000
2012-12-10,645.820007,647.630005,644.559998,645.659973,645.659973,2999430000
2012-12-11,645.659973,653.739990,645.659973,650.289978,650.289978,3650230000
2012-12-12,650.289978,655.280029,649.760010,650.510010,650.510010,3709050000
2012-12-13,650.510010,651.619995,644.659973,646.270020,646.270020,3349960000
2012-12-14,646.270020,646.270020,641.520020,642.419983,642.419983,3210170000
2012-12-17,642.390015,650.349976,642.390015,650.119995,650.119995,3455610000
2012-12-18,650.179993,658.200012,649.940002,657.479980,657.479980,4302240000
2012-12-19,657.479980,657.950012,651.989990,652.010010,652.010010,3869800000
2012-12-20,652.010010,655.380005,650.669983,655.359985,655.359985,3686580000
2012-12-21,655.359985,655.359985,645.229980,648.960022,648.960022,5229160000
2012-12-24,648.960022,648.960022,646.090027,646.989990,646.989990,1248960000
2012-12-26,646.989990,648.320007,642.409973,644.539978,644.539978,2285030000
2012-12-27,644.539978,645.750000,636.250000,643.580017,643.580017,2830180000
2012-12-28,643.580017,643.580017,635.729980,636.169983,636.169983,2426680000
2012-12-31,636.169983,646.909973,633.929993,646.609985,646.609985,3204330000
2013-01-02,646.609985,663.869995,646.609985,663.869995,663.869995,4202600000
2013-01-03,663.869995,664.770020,660.450012,662.330017,662.330017,3829730000
2013-01-04,662.330017,665.450012,661.590027,664.690002,664.690002,3424290000
2013-01-07,664.690002,664.690002,660.570007,663.090027,663.090027,3304970000
2013-01-08,663.090027,663.090027,658.729980,661.140015,661.140015,3601600000
2013-01-09,661.140015,664.400024,660.950012,662.239990,662.239990,3674390000
2013-01-10,663.969971,667.799988,662.559998,667.590027,667.590027,4081840000
2013-01-11,667.590027,668.280029,665.849976,667.880005,667.880005,3340650000
2013-01-14,667.880005,667.880005,664.419983,666.349976,666.349976,3003010000
2013-01-15,666.349976,666.570007,663.020020,666.039978,666.039978,3135350000
2013-01-16,666.039978,667.590027,664.479980,666.919983,666.919983,3384080000
2013-01-17,666.919983,671.409973,666.919983,669.330017,669.330017,3706710000
2013-01-18,669.330017,671.369995,666.669983,671.369995,671.369995,3795740000
2013-01-22,671.369995,673.580017,668.710022,673.580017,673.580017,3570950000
2013-01-23,673.580017,676.440002,673.539978,675.770020,675.770020,3552010000
2013-01-24,675.770020,677.820007,671.849976,673.969971,673.969971,3699430000
2013-01-25,673.969971,677.760010,673.969971,677.150024,677.150024,3476290000
2013-01-28,677.150024,677.729980,674.570007,676.190002,676.190002,3388540000
2013-01-29,676.190002,680.809998,675.469971,679.840027,679.840027,3949640000
2013-01-30,679.840027,680.590027,676.250000,677.099976,677.099976,3726810000
2013-01-31,677.099976,678.590027,674.679993,674.890015,674.890015,3999880000
2013-02-01,674.890015,682.250000,674.890015,681.739990,681.739990,3836320000
2013-02-04,681.739990,681.739990,673.380005,673.770020,673.770020,3390000000
2013-02-05,673.770020,683.010010,673.770020,681.159973,681.159973,3618360000
2013-02-06,681.159973,681.599976,678.099976,681.030029,681.030029,3611570000
2013-02-07,681.179993,681.280029,674.909973,679.679993,679.679993,3614580000
2013-02-08,679.679993,683.780029,679.679993,683.039978,683.039978,2986150000
2013-02-11,683.039978,683.380005,681.270020,682.750000,682.750000,2684100000
2013-02-12,682.750000,685.080017,681.820007,683.599976,683.599976,3414370000
2013-02-13,683.599976,686.030029,681.869995,684.020020,684.020020,3385880000
2013-02-14,684.020020,685.820007,681.460022,684.940002,684.940002,3759740000
2013-02-15,684.940002,686.289978,681.369995,683.969971,683.969971,3838510000
2013-02-19,683.969971,689.270020,683.969971,689.260010,689.260010,3748910000
2013-02-20,689.260010,689.260010,681.609985,681.950012,681.950012,4240570000
2013-02-21,681.950012,681.950012,676.109985,678.359985,678.359985,4274600000
2013-02-22,678.359985,683.650024,678.359985,683.619995,683.619995,3419320000
2013-02-25,683.619995,688.659973,671.739990,671.750000,671.750000,4011050000
2013-02-26,671.750000,676.900024,670.880005,675.900024,675.900024,3975280000
2013-02-27,675.900024,685.650024,674.510010,683.659973,683.659973,3551850000
2013-02-28,683.659973,687.359985,682.380005,682.530029,682.530029,3912320000
2013-03-01,682.530029,684.770020,676.849976,683.650024,683.650024,3695610000
2013-03-04,683.650024,686.539978,681.010010,686.520020,686.520020,3414430000
2013-03-05,686.520020,695.039978,686.520020,693.270020,693.270020,3610690000
2013-03-06,693.270020,695.559998,692.390015,694.150024,694.150024,3676890000
2013-03-07,694.150024,696.539978,694.150024,695.820007,695.820007,3634710000
2013-03-08,695.820007,698.880005,694.609985,698.270020,698.270020,3652260000
2013-03-11,698.270020,700.809998,696.469971,700.760010,700.760010,3091080000
2013-03-12,700.760010,700.859985,696.500000,698.309998,698.309998,3274910000
2013-03-13,698.369995,699.659973,696.359985,698.619995,698.619995,3073830000
2013-03-14,698.619995,702.739990,698.619995,702.719971,702.719971,3459260000
2013-03-15,702.719971,703.020020,699.090027,701.750000,701.750000,5175850000
2013-03-18,701.750000,701.750000,694.960022,698.000000,698.000000,3164560000
2013-03-19,698.000000,700.799988,692.520020,696.909973,696.909973,3796210000
2013-03-20,696.909973,701.909973,696.909973,700.559998,700.559998,3349090000
2013-03-21,700.559998,700.559998,693.799988,694.809998,694.809998,3243270000
2013-03-22,694.830017,700.840027,694.830017,700.570007,700.570007,2948380000
2013-03-25,700.570007,704.109985,695.869995,698.289978,698.289978,3178170000
2013-03-26,698.289978,703.840027,698.289978,703.739990,703.739990,2869260000
2013-03-27,703.739990,703.739990,698.559998,702.919983,702.919983,2914210000
2013-03-28,702.919983,705.080017,701.969971,704.570007,704.570007,3304440000
2013-04-01,704.570007,705.489990,700.559998,702.169983,702.169983,2753110000
2013-04-02,702.169983,708.169983,702.169983,707.049988,707.049988,3312160000
2013-04-03,707.049988,707.739990,698.799988,700.549988,700.549988,4060610000
2013-04-04,700.549988,704.309998,699.659973,702.969971,702.969971,3350670000
2013-04-05,702.969971,702.969971,693.789978,699.489990,699.489990,3515410000
2013-04-08,699.489990,703.099976,697.349976,703.099976,703.099976,2887120000
2013-04-09,703.099976,708.409973,702.539978,705.989990,705.989990,3252780000
2013-04-10,705.989990,715.679993,705.989990,714.739990,714.739990,3453350000
2013-04-11,714.739990,718.400024,713.159973,716.940002,716.940002,3393950000
2013-04-12,716.940002,716.940002,711.309998,715.380005,715.380005,3206290000
2013-04-15,715.380005,715.380005,700.570007,700.650024,700.650024,4660130000
2013-04-16,700.650024,710.510010,700.650024,710.099976,710.099976,3654700000
2013-04-17,710.099976,710.099976,696.599976,700.190002,700.190002,4250310000
2013-04-18,700.190002,701.150024,692.750000,695.099976,695.099976,3890800000
2013-04-19,695.099976,701.150024,693.700012,700.820007,700.820007,3569870000
2013-04-22,700.820007,705.549988,698.140015,704.450012,704.450012,2979880000
2013-04-23,704.450012,712.320007,704.440002,711.890015,711.890015,3565150000
2013-04-24,711.890015,712.570007,709.280029,710.369995,710.369995,3598240000
2013-04-25,710.369995,715.659973,710.369995,712.369995,712.369995,3908580000
2013-04-26,712.369995,714.059998,709.760010,712.400024,712.400024,3198620000
2013-04-29,712.429993,718.900024,712.429993,717.369995,717.369995,2891200000
2013-04-30,717.369995,719.090027,714.059998,718.979980,718.979980,3745070000
2013-05-01,718.979980,718.979980,712.039978,712.789978,712.789978,3530320000
2013-05-02,712.789978,719.739990,712.789978,719.210022,719.210022,3366950000
2013-05-03,719.289978,727.849976,719.289978,725.650024,725.650024,3603910000
2013-05-06,725.640015,728.250000,725.640015,727.150024,727.150024,3062240000
2013-05-07,727.150024,730.299988,726.219971,730.130005,730.130005,3309580000
2013-05-08,730.130005,733.419983,728.340027,733.330017,733.330017,3554700000
2013-05-09,733.330017,734.369995,728.700012,730.419983,730.419983,3457400000
2013-05-10,730.429993,732.849976,728.640015,732.849976,732.849976,3086470000
2013-05-13,732.289978,734.190002,730.070007,733.330017,733.330017,2910600000
2013-05-14,733.159973,740.099976,733.159973,739.739990,739.739990,3457790000
2013-05-15,739.409973,744.700012,738.260010,743.520020,743.520020,3657440000
2013-05-16,742.820007,745.010010,739.989990,740.799988,740.799988,3513130000
2013-05-17,741.809998,747.719971,741.809998,747.719971,747.719971,3440710000
2013-05-20,746.960022,750.090027,745.789978,747.299988,747.299988,3275080000
2013-05-21,747.070007,751.500000,745.780029,748.890015,748.890015,3513560000
2013-05-22,749.090027,757.609985,741.500000,744.210022,744.210022,4361020000
2013-05-23,742.780029,744.469971,735.809998,741.940002,741.940002,3945510000
2013-05-24,740.609985,742.500000,736.929993,742.419983,742.419983,2758080000
2013-05-28,743.390015,753.250000,743.390015,747.090027,747.090027,3457400000
2013-05-29,746.059998,746.059998,738.539978,742.280029,742.280029,3587140000
2013-05-30,742.760010,748.070007,742.239990,744.599976,744.599976,3498620000
2013-05-31,743.940002,746.530029,733.630005,733.630005,733.630005,4099600000
2013-06-03,733.909973,739.739990,731.729980,739.739990,739.739990,3952070000
2013-06-04,740.020020,743.080017,732.590027,736.190002,736.190002,3653840000
2013-06-05,735.229980,735.520020,725.500000,726.400024,726.400024,3632350000
2013-06-06,726.599976,731.479980,720.549988,731.479980,731.479980,3547380000
